How long have you been doing online shopping?,How often do you shop online?,Which online shopping app do you like to use?,"When you shop online, what do you usually buy?",How much money do you spend on online purchases each month?,Which method of payment do you prefer for online purchases?
2 to 3 years,Often,Shopee,Pet Needs,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
More than 3 years,Often,Lazada,Electronic devices and accessories,"P1,000 to P5,000",Debit card
Less than 1 year,Rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Shopee,School supplies,"Less than P1,000",Shopeepay (GCash) 
2 to 3 years,Rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
Less than 1 year,Very rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
More than 3 years,Rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Gcash
2 to 3 years,Often,Shopee,Apparel,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
More than 3 years,Rarely,Shopee,Health and beauty products,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Very often,Shopee,Apparel,"P1,000 to P5,000",Cash on delivery
1 to 2 years,Rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Rarely,Shopee,Home appliances,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Shopee,Apparel,"Less than P1,000",Cash on delivery
Less than 1 year,Very rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
Less than 1 year,Very rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
Less than 1 year,Very rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
Less than 1 year,Often,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
Less than 1 year,Very rarely,Shopee,Home appliances,"Less than P1,000",Cash on delivery
1 to 2 years,Rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
Less than 1 year,Rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
2 to 3 years,Very often,Shopee,Home appliances,"P1,000 to P5,000",Cash on delivery
1 to 2 years,Often,Lazada,Health and beauty products,"Less than P1,000",Cash on delivery
1 to 2 years,Very often,Lazada,School supplies,"Less than P1,000",Cash on delivery
Less than 1 year,Often,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
2 to 3 years,Rarely,Shopee,Health and beauty products,"Less than P1,000",Cash on delivery
2 to 3 years,Rarely,Lazada,Apparel,"Less than P1,000",Bank account
More than 3 years,Often,Lazada,Health and beauty products,"Less than P1,000",Cash on delivery
Less than 1 year,Rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
2 to 3 years,Rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
More than 3 years,Rarely,Shopee,Home appliances,"Less than P1,000",Cash on delivery
Less than 1 year,Rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
More than 3 years,Often,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Shopee,Health and beauty products,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Shopee,Apparel,"P1,000 to P5,000",Cash on delivery
1 to 2 years,Often,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
Less than 1 year,Often,Shopee,Health and beauty products,"Less than P1,000",Cash on delivery
2 to 3 years,Often,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Very rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Very often,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Very rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
2 to 3 years,Often,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
2 to 3 years,Rarely,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
More than 3 years,Very often,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
1 to 2 years,Often,Shopee,Electronic devices and accessories,"Less than P1,000",E-money
1 to 2 years,Often,Lazada,Electronic devices and accessories,"Less than P1,000",Cash on delivery
2 to 3 years,Very rarely,Shopee,Electronic devices and accessories,"Less than P1,000",Cash on delivery
